device,condition,frame,quality_template_corr,quality_gate_passed,orientation_margin,orientation_gate_passed,pose_initial_corr,pose_final_corr,pose_refined,pose_attempted,pose_gate_passed,pose_angle_deg,pose_scale,pose_tx32,pose_ty32,raw_mismatch_bits,raw_hd,observed_ones,observed_uniformity_percent,decoder_attempted,decoder_converged,decoder_iterations,unsatisfied_checks,estimated_error_bits,exact_reference_recovered,accepted,outcome_stage
M1,M1_10mA_40C_0,frame_0040.png,0.8240585327148438,True,,True,0.8240585327148438,0.8240585327148438,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0042.png,0.8202438354492188,True,,True,0.8202438354492188,0.8202438354492188,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0047.png,0.8080854415893555,True,,True,0.8080854415893555,0.8080854415893555,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_40C_0,frame_0053.png,0.8182590007781982,True,,True,0.8182590007781982,0.8182590007781982,False,False,True,0.0,1.0,0.0,0.0,5,0.00244140625,1021,49.853515625,True,True,1,0,5,True,True,accepted
M1,M1_10mA_40C_0,frame_0063.png,0.805206298828125,True,,True,0.805206298828125,0.805206298828125,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0067.png,0.8236633539199829,True,,True,0.8236633539199829,0.8236633539199829,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0069.png,0.8270513415336609,True,,True,0.8270513415336609,0.8270513415336609,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0073.png,0.8051222562789917,True,,True,0.8051222562789917,0.8051222562789917,False,False,True,0.0,1.0,0.0,0.0,4,0.001953125,1022,49.90234375,True,True,1,0,4,True,True,accepted
M1,M1_10mA_40C_0,frame_0080.png,0.7944086790084839,True,,True,0.7944086790084839,0.7944086790084839,False,False,True,0.0,1.0,0.0,0.0,1,0.00048828125,1023,49.951171875,True,True,1,0,1,True,True,accepted
M1,M1_10mA_40C_0,frame_0086.png,0.7950583100318909,True,,True,0.7950583100318909,0.7950583100318909,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0088.png,0.8036836385726929,True,,True,0.8036836385726929,0.8036836385726929,False,False,True,0.0,1.0,0.0,0.0,2,0.0009765625,1022,49.90234375,True,True,1,0,2,True,True,accepted
M1,M1_10mA_40C_0,frame_0096.png,0.8230146169662476,True,,True,0.8230146169662476,0.8230146169662476,False,False,True,0.0,1.0,0.0,0.0,3,0.00146484375,1023,49.951171875,True,True,1,0,3,True,True,accepted
M1,M1_10mA_40C_0,frame_0102.png,0.7926058769226074,True,,True,0.7926058769226074,0.7926058769226074,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
M1,M1_10mA_40C_0,frame_0106.png,0.802568256855011,True,,True,0.802568256855011,0.802568256855011,False,False,True,0.0,1.0,0.0,0.0,0,0.0,1022,49.90234375,True,True,0,0,0,True,True,accepted
